	Run	Cell	Species	CellLine	Barcode.1st	Barcode.2nd	Remark	TotalReads	UniqReads	Length.Median	Length.Mean	Length.Std	Background	GC.Median	GC.Mean	GC.Std	Spikiness	GenomicDepth	GenomicCoverage
122	20220430_S5Merged	20220430_S5Merged.sc067	Human	HG001	17	3		13832	12865	2681.0	2954.120171006607	1303.902972858217	0.027819	0.3954659949622166	0.4071534154512018	0.064733100874183	0.6302367941712204	0.01332706042303097	0.0122007448453796
123	20220430_S5Merged	20220430_S5Merged.sc068	Human	HG001	17	4		84048	62708	2410.0	2683.484292275308	1162.357148214999	0.014144	0.3949287447670428	0.4064501250317116	0.06525604551935428	0.3835336926765401	0.0742477714764841	0.05271795365679114
124	20220430_S5Merged	20220430_S5Merged.sc069	Human	HG001	17	5		479030	162128	2488.0	2855.776904667917	1448.316681006337	0.006961	0.3978610774790429	0.4086872976310438	0.06563184024432812	0.2518495861132883	0.4551602432160382	0.1389664589541041
125	20220430_S5Merged	20220430_S5Merged.sc070	Human	HG001	17	6		258437	132663	2377.0	2727.017412541553	1339.306584251682	0.002897	0.3960568280661061	0.407118148544644	0.06538828554976671	0.2973136581262431	0.2354999939370467	0.1117912322969546
126	20220430_S5Merged	20220430_S5Merged.sc071	Human	HG001	17	7		2271	2235	2512.0	2744.727516778524	1223.840303925019	0.034081	0.3933333333333333	0.4046215899528932	0.06482128331586648	1.186504217432053	0.002120326529691486	0.002070386382216322
127	20220430_S5Merged	20220430_S5Merged.sc072	Human	HG001	17	8		1688	1670	2600.0	2864.170059880239	1271.344698944675	0.03299700000000001	0.3933906215467817	0.4035529677444534	0.06207170910390813	1.325316455696202	0.001594621416690854	0.001574296210059537
128	20220430_S5Merged	20220430_S5Merged.sc073	Human	HG001	18	1		909	880	2231.5	2440.896590909091	1143.708837108155	0.003425	0.3951917485240389	0.4050411967803676	0.06628271546624606	1.484848484848485	0.0007259241374412044	0.0006972615439192801
129	20220430_S5Merged	20220430_S5Merged.sc074	Human	HG001	18	2		563	521	2840.0	3061.614203454894	1703.883062958219	0.259505	0.398092967818832	0.4085440618715154	0.06721184336497316	1.7	0.0006051151579181669	0.000555450140732134
130	20220430_S5Merged	20220430_S5Merged.sc075	Human	HG001	18	3		11568	10547	2726.0	3023.905186308903	1359.461881866311	0.015929	0.3926014319809069	0.4036181289434641	0.06270889365700542	0.6050529259037347	0.01157106622220425	0.01041388422611068
131	20220430_S5Merged	20220430_S5Merged.sc076	Human	HG001	18	4		15677	14500	2705.0	2968.914413793103	1276.85770137927	0.002961	0.3933972505003617	0.4042360991709881	0.06379542895623445	0.5546537983475909	0.01525819366157539	0.01396753417092626
132	20220430_S5Merged	20220430_S5Merged.sc077	Human	HG001	18	5		138910	66982	2876.0	3289.046415454898	1676.916366374985	0.019565	0.396093538049376	0.4073775862822683	0.06450857996568722	0.4838249286393911	0.1536184946757047	0.06745471037701943
133	20220430_S5Merged	20220430_S5Merged.sc078	Human	HG001	18	6		210789	62089	2742.0	3171.923625763018	1703.836288984567	0.005497	0.3943877551020408	0.4049891206856098	0.0641775897226697	0.3224910546941557	0.2145848363136971	0.05877562036295854
134	20220430_S5Merged	20220430_S5Merged.sc079	Human	HG001	18	7		56924	44026	2723.0	3062.116135919684	1430.80270482019	0.006464	0.3930836316390048	0.4039815355884426	0.06304976432172571	0.3940005768676089	0.05735843433059581	0.04294674004697797
135	20220430_S5Merged	20220430_S5Merged.sc080	Human	HG001	18	8		159	157	2705.0	2995.821656050955	1630.688778326605	0.0	0.3893428063943162	0.3990882600194505	0.06213660396115427	1.894039735099338	0.0001632809570387421	0.0001610986973244462
136	20220430_S5Merged	20220430_S5Merged.sc081	Human	HG001	19	1		168358	102609	2522.0	2833.999425001705	1301.151716423077	0.004085	0.3960511033681766	0.4072732508034665	0.06504368887981908	0.3071522506756687	0.1574584895124101	0.08936079721491014
137	20220430_S5Merged	20220430_S5Merged.sc082	Human	HG001	19	2		281294	141592	2557.0	2922.626356008814	1437.938304080209	0.008706	0.3954146715127273	0.4062301076566819	0.06488372044059046	0.2520111247345914	0.2702182913835689	0.1248296570466998
