Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541174,OP-Strand-seq,Human,HG001,PAIRED,SRR16541174,438714,423664,0.005547,0.442744199052449,0.4342105263157895,0.1725002986501015,0.0107791111631975,0.0093706437349148
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541175,OP-Strand-seq,Human,HG001,PAIRED,SRR16541175,74978,73844,0.009387,0.4608206609079283,0.4605263157894737,0.3551047195114992,0.0018376289402186,0.0016112113209517
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541176,OP-Strand-seq,Human,HG001,PAIRED,SRR16541176,991124,933424,0.005476,0.4414243242168502,0.4342105263157895,0.1340634219288615,0.0243771627471159,0.0208169117623166
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541177,OP-Strand-seq,Human,HG001,PAIRED,SRR16541177,1265966,1175652,0.004248,0.4380917482749802,0.4342105263157895,0.1233379562266425,0.0311563741147821,0.0262606890543413
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541178,OP-Strand-seq,Human,HG001,PAIRED,SRR16541178,725984,691304,0.005011,0.4437577530422659,0.4342105263157895,0.1516657014843488,0.0178981004379447,0.015603166348515
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541179,OP-Strand-seq,Human,HG001,PAIRED,SRR16541179,886228,839854,0.007457,0.44423050603853,0.4342105263157895,0.1427578959512636,0.0218053213260177,0.0187225253928056
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541180,OP-Strand-seq,Human,HG001,PAIRED,SRR16541180,918364,866212,0.045458,0.4433166453435034,0.4342105263157895,0.1615785789969962,0.0226218179372497,0.0193930982552015
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541181,OP-Strand-seq,Human,HG001,PAIRED,SRR16541181,930264,873436,0.01681,0.436769114939696,0.4342105263157895,0.1378774235134215,0.0228932494457302,0.019565761120317
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541182,OP-Strand-seq,Human,HG001,PAIRED,SRR16541182,168856,165284,0.006127,0.4518862307459813,0.4473684210526316,0.2461669614342244,0.004158814146186,0.0037065837768972
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541183,OP-Strand-seq,Human,HG001,PAIRED,SRR16541183,60716,59586,0.165451,0.4712842804649307,0.4722222222222222,0.4176811085774425,0.0015049967684851,0.0012890483610672
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541184,OP-Strand-seq,Human,HG001,PAIRED,SRR16541184,73106,71868,0.01454,0.4701123462881132,0.4657534246575342,0.353748433903441,0.0018090745205525,0.0015665174315688
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541185,OP-Strand-seq,Human,HG001,PAIRED,SRR16541185,537120,514980,0.008436,0.4520291676831356,0.4473684210526316,0.1753009238423331,0.0132510006372094,0.0116266529753858
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541186,OP-Strand-seq,Human,HG001,PAIRED,SRR16541186,543176,522482,0.054856,0.4524690231044025,0.4473684210526316,0.1673603716968347,0.013362165100099,0.0116495367893582
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541187,OP-Strand-seq,Human,HG001,PAIRED,SRR16541187,695046,659862,0.006151,0.4484536026946062,0.4473684210526316,0.1549036936830585,0.0171409140561839,0.0147190770774138
